year,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,result
2010,M-2010-01,South Africa vs Mexico,group stage,Group A,2010-06-11,16:00,Soccer City,Johannesburg,South Africa,South Africa,Mexico,1–1,1,1,0,0,0-0,draw
2010,M-2010-02,Uruguay vs France,group stage,Group A,2010-06-11,20:30,Cape Town Stadium,Cape Town,South Africa,Uruguay,France,0–0,0,0,0,0,0-0,draw
2010,M-2010-03,South Korea vs Greece,group stage,Group B,2010-06-12,13:30,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,South Korea,Greece,2–0,2,0,0,0,0-0,home team win
2010,M-2010-04,Argentina vs Nigeria,group stage,Group B,2010-06-12,16:00,Ellis Park Stadium,Johannesburg,South Africa,Argentina,Nigeria,1–0,1,0,0,0,0-0,home team win
2010,M-2010-05,England vs United States,group stage,Group C,2010-06-12,20:30,Royal Bafokeng Stadium,Rustenburg,South Africa,England,United States,1–1,1,1,0,0,0-0,draw
2010,M-2010-06,Algeria vs Slovenia,group stage,Group C,2010-06-13,13:30,Peter Mokaba Stadium,Polokwane,South Africa,Algeria,Slovenia,0–1,0,1,0,0,0-0,away team win
2010,M-2010-07,Serbia vs Ghana,group stage,Group D,2010-06-13,16:00,Loftus Versfeld Stadium,Pretoria,South Africa,Serbia,Ghana,0–1,0,1,0,0,0-0,away team win
2010,M-2010-08,Germany vs Australia,group stage,Group D,2010-06-13,20:30,Moses Mabhida Stadium,Durban,South Africa,Germany,Australia,4–0,4,0,0,0,0-0,home team win
2010,M-2010-09,Netherlands vs Denmark,group stage,Group E,2010-06-14,13:30,Soccer City,Johannesburg,South Africa,Netherlands,Denmark,2–0,2,0,0,0,0-0,home team win
2010,M-2010-10,Japan vs Cameroon,group stage,Group E,2010-06-14,16:00,Free State Stadium,Bloemfontein,South Africa,Japan,Cameroon,1–0,1,0,0,0,0-0,home team win
2010,M-2010-11,Italy vs Paraguay,group stage,Group F,2010-06-14,20:30,Cape Town Stadium,Cape Town,South Africa,Italy,Paraguay,1–1,1,1,0,0,0-0,draw
2010,M-2010-12,New Zealand vs Slovakia,group stage,Group F,2010-06-15,13:30,Royal Bafokeng Stadium,Rustenburg,South Africa,New Zealand,Slovakia,1–1,1,1,0,0,0-0,draw
2010,M-2010-13,Ivory Coast vs Portugal,group stage,Group G,2010-06-15,16:00,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Ivory Coast,Portugal,0–0,0,0,0,0,0-0,draw
2010,M-2010-14,Brazil vs North Korea,group stage,Group G,2010-06-15,20:30,Ellis Park Stadium,Johannesburg,South Africa,Brazil,North Korea,2–1,2,1,0,0,0-0,home team win
2010,M-2010-15,Honduras vs Chile,group stage,Group H,2010-06-16,13:30,Mbombela Stadium,Nelspruit,South Africa,Honduras,Chile,0–1,0,1,0,0,0-0,away team win
2010,M-2010-16,Spain vs Switzerland,group stage,Group H,2010-06-16,16:00,Moses Mabhida Stadium,Durban,South Africa,Spain,Switzerland,0–1,0,1,0,0,0-0,away team win
2010,M-2010-17,South Africa vs Uruguay,group stage,Group A,2010-06-16,20:30,Loftus Versfeld Stadium,Pretoria,South Africa,South Africa,Uruguay,0–3,0,3,0,0,0-0,away team win
