year,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,result
2026,M-2026-A1,Mexico vs South Africa,group stage,Group A,2026-06-11,,,Mexico City,Mexico,Mexico,South Africa,,,,,,,
2026,M-2026-A2,South Korea vs Czech Republic,group stage,Group A,2026-06-11,,,Zapopan,Mexico,South Korea,Czech Republic,,,,,,,
2026,M-2026-A3,Czech Republic vs South Africa,group stage,Group A,2026-06-18,,,Atlanta,United States,Czech Republic,South Africa,,,,,,,
2026,M-2026-A4,Mexico vs South Korea,group stage,Group A,2026-06-18,,,Zapopan,Mexico,Mexico,South Korea,,,,,,,
2026,M-2026-A5,Czech Republic vs Mexico,group stage,Group A,2026-06-24,,,Mexico City,Mexico,Czech Republic,Mexico,,,,,,,
2026,M-2026-A6,South Africa vs South Korea,group stage,Group A,2026-06-24,,,Guadalupe,Mexico,South Africa,South Korea,,,,,,,
2026,M-2026-B1,Canada vs Bosnia and Herzegovina,group stage,Group B,2026-06-12,,,Toronto,Canada,Canada,Bosnia and Herzegovina,,,,,,,
2026,M-2026-B2,Qatar vs Switzerland,group stage,Group B,2026-06-13,,,Santa Clara,United States,Qatar,Switzerland,,,,,,,
2026,M-2026-B3,Switzerland vs Bosnia and Herzegovina,group stage,Group B,2026-06-18,,,Inglewood,United States,Switzerland,Bosnia and Herzegovina,,,,,,,
2026,M-2026-B4,Canada vs Qatar,group stage,Group B,2026-06-18,,,Vancouver,Canada,Canada,Qatar,,,,,,,
2026,M-2026-B5,Switzerland vs Canada,group stage,Group B,2026-06-23,,,Vancouver,Canada,Switzerland,Canada,,,,,,,
2026,M-2026-B6,Bosnia and Herzegovina vs Qatar,group stage,Group B,2026-06-23,,,Seattle,United States,Bosnia and Herzegovina,Qatar,,,,,,,
2026,M-2026-C1,Brazil vs Morocco,group stage,Group C,2026-06-13,,,East Rutherford,United States,Brazil,Morocco,,,,,,,
2026,M-2026-C2,Haiti vs Scotland,group stage,Group C,2026-06-13,,,Foxborough,United States,Haiti,Scotland,,,,,,,
2026,M-2026-C3,Scotland vs Morocco,group stage,Group C,2026-06-19,,,Foxborough,United States,Scotland,Morocco,,,,,,,
2026,M-2026-C4,Brazil vs Haiti,group stage,Group C,2026-06-19,,,Philadelphia,United States,Brazil,Haiti,,,,,,,
2026,M-2026-C5,Scotland vs Brazil,group stage,Group C,2026-06-24,,,Miami Gardens,United States,Scotland,Brazil,,,,,,,
2026,M-2026-C6,Morocco vs Haiti,group stage,Group C,2026-06-24,,,Atlanta,United States,Morocco,Haiti,,,,,,,
2026,M-2026-D1,United States vs Paraguay,group stage,Group D,2026-06-12,,,Inglewood,United States,United States,Paraguay,,,,,,,
2026,M-2026-D2,Australia vs Turkey,group stage,Group D,2026-06-13,,,Vancouver,Canada,Australia,Turkey,,,,,,,
2026,M-2026-D3,United States vs Australia,group stage,Group D,2026-06-19,,,Seattle,United States,United States,Australia,,,,,,,
2026,M-2026-D4,Turkey vs Paraguay,group stage,Group D,2026-06-19,,,Santa Clara,United States,Turkey,Paraguay,,,,,,,
2026,M-2026-D5,Turkey vs United States,group stage,Group D,2026-06-25,,,Inglewood,United States,Turkey,United States,,,,,,,
2026,M-2026-D6,Paraguay vs Australia,group stage,Group D,2026-06-25,,,Santa Clara,United States,Paraguay,Australia,,,,,,,
2026,M-2026-E1,Germany vs Curacao,group stage,Group E,2026-06-14,,,Houston,United States,Germany,Curacao,,,,,,,
2026,M-2026-E2,Ivory Coast vs Ecuador,group stage,Group E,2026-06-14,,,Philadelphia,United States,Ivory Coast,Ecuador,,,,,,,
2026,M-2026-E3,Germany vs Ivory Coast,group stage,Group E,2026-06-20,,,Toronto,Canada,Germany,Ivory Coast,,,,,,,
2026,M-2026-E4,Ecuador vs Curacao,group stage,Group E,2026-06-20,,,Kansas City,United States,Ecuador,Curacao,,,,,,,
2026,M-2026-E5,Ecuador vs Germany,group stage,Group E,2026-06-25,,,East Rutherford,United States,Ecuador,Germany,,,,,,,
2026,M-2026-E6,Curacao vs Ivory Coast,group stage,Group E,2026-06-25,,,Philadelphia,United States,Curacao,Ivory Coast,,,,,,,
2026,M-2026-F1,Netherlands vs Japan,group stage,Group F,2026-06-14,,,Arlington,United States,Netherlands,Japan,,,,,,,
2026,M-2026-F2,Sweden vs Tunisia,group stage,Group F,2026-06-14,,,Guadalupe,Mexico,Sweden,Tunisia,,,,,,,
2026,M-2026-F3,Netherlands vs Sweden,group stage,Group F,2026-06-20,,,Houston,United States,Netherlands,Sweden,,,,,,,
2026,M-2026-F4,Tunisia vs Japan,group stage,Group F,2026-06-20,,,Guadalupe,Mexico,Tunisia,Japan,,,,,,,
2026,M-2026-F5,Japan vs Sweden,group stage,Group F,2026-06-25,,,Arlington,United States,Japan,Sweden,,,,,,,
2026,M-2026-F6,Tunisia vs Netherlands,group stage,Group F,2026-06-25,,,Kansas City,United States,Tunisia,Netherlands,,,,,,,
2026,M-2026-G1,Belgium vs Egypt,group stage,Group G,2026-06-15,,,Seattle,United States,Belgium,Egypt,,,,,,,
2026,M-2026-G2,Iran vs New Zealand,group stage,Group G,2026-06-15,,,Inglewood,United States,Iran,New Zealand,,,,,,,
2026,M-2026-G3,Belgium vs Iran,group stage,Group G,2026-06-21,,,Inglewood,United States,Belgium,Iran,,,,,,,
2026,M-2026-G4,New Zealand vs Egypt,group stage,Group G,2026-06-21,,,Vancouver,Canada,New Zealand,Egypt,,,,,,,
2026,M-2026-G5,Egypt vs Iran,group stage,Group G,2026-06-26,,,Seattle,United States,Egypt,Iran,,,,,,,
2026,M-2026-G6,New Zealand vs Belgium,group stage,Group G,2026-06-26,,,Vancouver,Canada,New Zealand,Belgium,,,,,,,
2026,M-2026-H1,Spain vs Cape Verde,group stage,Group H,2026-06-15,,,Atlanta,United States,Spain,Cape Verde,,,,,,,
2026,M-2026-H2,Saudi Arabia vs Uruguay,group stage,Group H,2026-06-15,,,Miami Gardens,United States,Saudi Arabia,Uruguay,,,,,,,
2026,M-2026-H3,Spain vs Saudi Arabia,group stage,Group H,2026-06-21,,,Atlanta,United States,Spain,Saudi Arabia,,,,,,,
2026,M-2026-H4,Uruguay vs Cape Verde,group stage,Group H,2026-06-21,,,Miami Gardens,United States,Uruguay,Cape Verde,,,,,,,
2026,M-2026-H5,Cape Verde vs Saudi Arabia,group stage,Group H,2026-06-26,,,Houston,United States,Cape Verde,Saudi Arabia,,,,,,,
2026,M-2026-H6,Uruguay vs Spain,group stage,Group H,2026-06-26,,,Zapopan,Mexico,Uruguay,Spain,,,,,,,
2026,M-2026-I1,France vs Senegal,group stage,Group I,2026-06-16,,,East Rutherford,United States,France,Senegal,,,,,,,
2026,M-2026-I2,Iraq vs Norway,group stage,Group I,2026-06-16,,,Foxborough,United States,Iraq,Norway,,,,,,,
2026,M-2026-I3,France vs Iraq,group stage,Group I,2026-06-22,,,,,France,Iraq,,,,,,,
2026,M-2026-I4,Senegal vs Norway,group stage,Group I,2026-06-22,,,,,Senegal,Norway,,,,,,,
2026,M-2026-I5,Norway vs France,group stage,Group I,2026-06-26,,,Foxborough,United States,Norway,France,,,,,,,
2026,M-2026-I6,Senegal vs Iraq,group stage,Group I,2026-06-26,,,Toronto,Canada,Senegal,Iraq,,,,,,,
2026,M-2026-J1,Argentina vs Algeria,group stage,Group J,2026-06-16,,,Kansas City,United States,Argentina,Algeria,,,,,,,
2026,M-2026-J2,Austria vs Jordan,group stage,Group J,2026-06-16,,,Santa Clara,United States,Austria,Jordan,,,,,,,
2026,M-2026-J3,Argentina vs Austria,group stage,Group J,2026-06-22,,,Arlington,United States,Argentina,Austria,,,,,,,
2026,M-2026-J4,Jordan vs Algeria,group stage,Group J,2026-06-22,,,Santa Clara,United States,Jordan,Algeria,,,,,,,
2026,M-2026-J5,Algeria vs Austria,group stage,Group J,2026-06-27,,,Kansas City,United States,Algeria,Austria,,,,,,,
2026,M-2026-J6,Jordan vs Argentina,group stage,Group J,2026-06-27,,,Arlington,United States,Jordan,Argentina,,,,,,,
2026,M-2026-K1,Portugal vs DR Congo,group stage,Group K,2026-06-17,,,Houston,United States,Portugal,DR Congo,,,,,,,
2026,M-2026-K2,Uzbekistan vs Colombia,group stage,Group K,2026-06-17,,,Mexico City,Mexico,Uzbekistan,Colombia,,,,,,,
2026,M-2026-K3,Portugal vs Uzbekistan,group stage,Group K,2026-06-23,,,Houston,United States,Portugal,Uzbekistan,,,,,,,
2026,M-2026-K4,Colombia vs DR Congo,group stage,Group K,2026-06-23,,,Zapopan,Mexico,Colombia,DR Congo,,,,,,,
2026,M-2026-K5,Colombia vs Portugal,group stage,Group K,2026-06-27,,,Miami Gardens,United States,Colombia,Portugal,,,,,,,
2026,M-2026-K6,DR Congo vs Uzbekistan,group stage,Group K,2026-06-27,,,Atlanta,United States,DR Congo,Uzbekistan,,,,,,,
2026,M-2026-L1,England vs Croatia,group stage,Group L,2026-06-17,,,Arlington,United States,England,Croatia,,,,,,,
2026,M-2026-L2,Ghana vs Panama,group stage,Group L,2026-06-17,,,Toronto,Canada,Ghana,Panama,,,,,,,
2026,M-2026-L3,England vs Ghana,group stage,Group L,2026-06-23,,,Foxborough,United States,England,Ghana,,,,,,,
2026,M-2026-L4,Panama vs Croatia,group stage,Group L,2026-06-23,,,Toronto,Canada,Panama,Croatia,,,,,,,
2026,M-2026-L5,Panama vs England,group stage,Group L,2026-06-27,,,East Rutherford,United States,Panama,England,,,,,,,
2026,M-2026-L6,Croatia vs Ghana,group stage,Group L,2026-06-27,,,Philadelphia,United States,Croatia,Ghana,,,,,,,
