year,team,shirt_number,position,player,birth_date,caps,goals,club,club_country,league_country,iffhs_ranking_year,iffhs_league_rank,clubelo_name,clubelo_rating,clubelo_division_level,clubelo_date
2010,France,1,GK,Hugo Lloris,1986-12-26,11,,Lyon,France,France,2013,7.0,Lyon,1771.5,1.0,2010-01-01
2010,France,2,DF,Bacary Sagna,1983-02-14,20,,Arsenal,England,England,2013,2.0,Arsenal,1881.6,1.0,2010-01-01
2010,France,3,DF,Eric Abidal,1979-09-11,54,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,France,4,DF,Anthony Réveillère,1979-11-10,6,,Lyon,France,France,2013,7.0,Lyon,1771.5,1.0,2010-01-01
2010,France,5,DF,William Gallas,1977-08-17,81,,Arsenal,England,England,2013,2.0,Arsenal,1881.6,1.0,2010-01-01
2010,France,6,DF,Marc Planus,1982-03-07,1,,Bordeaux,France,France,2013,7.0,Bordeaux,1866.5,1.0,2010-01-01
2010,France,7,MF,Franck Ribéry,1983-04-07,45,,Bayern Munich,Germany,Germany,2013,3.0,Bayern,1857.6,1.0,2010-01-01
2010,France,8,MF,Yoann Gourcuff,1986-07-11,20,,Bordeaux,France,France,2013,7.0,Bordeaux,1866.5,1.0,2010-01-01
2010,France,9,FW,Djibril Cissé,1981-08-12,39,,Panathinaikos,Greece,Greece,2013,22.0,Panathinaikos,1686.6,1.0,2010-01-01
2010,France,10,FW,Sidney Govou,1979-07-27,46,,Lyon,France,France,2013,7.0,Lyon,1771.5,1.0,2010-01-01
2010,France,11,FW,André-Pierre Gignac,1985-12-05,13,,Toulouse,France,France,2013,7.0,Toulouse,1674.9,1.0,2010-01-01
2010,France,12,FW,Thierry Henry,1977-08-17,121,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,France,13,DF,Patrice Evra,1981-05-15,30,,Manchester United,England,England,2013,2.0,Man United,1928.5,1.0,2010-01-01
2010,France,14,MF,Jérémy Toulalan,1983-09-10,34,,Lyon,France,France,2013,7.0,Lyon,1771.5,1.0,2010-01-01
2010,France,15,MF,Florent Malouda,1980-06-13,54,,Chelsea,England,England,2013,2.0,Chelsea,1945.5,1.0,2010-01-01
2010,France,16,GK,Steve Mandanda,1985-03-28,13,,Marseille,France,France,2013,7.0,Marseille,1770.7,1.0,2010-01-01
2010,France,17,DF,Sébastien Squillaci,1980-08-11,20,,Sevilla,Spain,Spain,2013,1.0,Sevilla,1833.8,1.0,2010-01-01
2010,France,18,MF,Alou Diarra,1981-07-15,25,,Bordeaux,France,France,2013,7.0,Bordeaux,1866.5,1.0,2010-01-01
2010,France,19,MF,Abou Diaby,1986-05-11,5,,Arsenal,England,England,2013,2.0,Arsenal,1881.6,1.0,2010-01-01
2010,France,20,MF,Mathieu Valbuena,1984-09-28,2,,Marseille,France,France,2013,7.0,Marseille,1770.7,1.0,2010-01-01
2010,France,21,FW,Nicolas Anelka,1979-03-14,67,,Chelsea,England,England,2013,2.0,Chelsea,1945.5,1.0,2010-01-01
2010,France,22,DF,Gaël Clichy,1985-07-26,4,,Arsenal,England,England,2013,2.0,Arsenal,1881.6,1.0,2010-01-01
2010,France,23,GK,Cédric Carrasso,1981-12-30,0,,Bordeaux,France,France,2013,7.0,Bordeaux,1866.5,1.0,2010-01-01
2010,Mexico,1,GK,Óscar Pérez,1973-02-01,52,,Chiapas,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,2,DF,Francisco Rodríguez,1981-10-20,48,,PSV Eindhoven,Netherlands,Netherlands,2013,21.0,PSV,1738.9,1.0,2010-01-01
2010,Mexico,3,DF,Carlos Salcido,1980-04-02,73,,PSV Eindhoven,Netherlands,Netherlands,2013,21.0,PSV,1738.9,1.0,2010-01-01
2010,Mexico,4,DF,Rafael Márquez,1979-02-13,91,,Barcelona,Spain,Spain,2013,1.0,Barcelona,1987.7,1.0,2010-01-01
2010,Mexico,5,DF,Ricardo Osorio,1980-03-30,76,,VfB Stuttgart,Germany,Germany,2013,3.0,Stuttgart,1711.9,1.0,2010-01-01
2010,Mexico,6,MF,Gerardo Torrado,1979-04-30,114,,Cruz Azul,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,7,MF,Pablo Barrera,1987-06-21,21,,UNAM,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,8,MF,Israel Castro,1980-12-29,31,,UNAM,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,9,FW,Guillermo Franco,1976-11-03,21,,West Ham United,England,England,2013,2.0,West Ham,1653.1,1.0,2010-01-01
2010,Mexico,10,FW,Cuauhtémoc Blanco,1973-01-17,115,,Veracruz,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,11,FW,Carlos Vela,1989-03-01,28,,Arsenal,England,England,2013,2.0,Arsenal,1881.6,1.0,2010-01-01
2010,Mexico,12,DF,Paul Aguilar,1986-03-06,10,,Pachuca,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,13,GK,Guillermo Ochoa,1985-07-13,37,,América,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,14,FW,Javier Hernández,1988-06-01,12,,Guadalajara,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,15,DF,Héctor Moreno,1988-01-17,10,,AZ,Netherlands,Netherlands,2013,21.0,Alkmaar,1603.9,1.0,2010-01-01
2010,Mexico,16,DF,Efraín Juárez,1988-02-22,19,,UNAM,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,17,FW,Giovani dos Santos,1989-05-11,26,,Galatasaray,Turkey,Turkey,2013,13.0,Galatasaray,1664.3,1.0,2010-01-01
2010,Mexico,18,MF,Andrés Guardado,1986-09-28,56,,Deportivo La Coruña,Spain,Spain,2013,1.0,Depor,1747.1,1.0,2010-01-01
2010,Mexico,19,DF,Jonny Magallón,1981-11-21,52,,Guadalajara,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,20,DF,Jorge Torres Nilo,1988-01-16,8,,Atlas,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,21,FW,Adolfo Bautista,1979-05-15,37,,Guadalajara,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,22,MF,Alberto Medina,1983-05-29,56,,Guadalajara,Mexico,Mexico,2013,15.0,,,,
2010,Mexico,23,GK,Luis Ernesto Michel,1979-07-21,4,,Guadalajara,Mexico,Mexico,2013,15.0,,,,
2010,South Africa,1,GK,Moeneeb Josephs,1980-05-19,17,,Orlando Pirates,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,2,DF,Siboniso Gaxa,1984-04-06,37,,Mamelodi Sundowns,South Africa,South Africa,2013,61.0,,,,
2010,South Africa,3,DF,Tsepo Masilela,1985-05-05,31,,Maccabi Haifa,Israel,Israel,2013,36.0,Maccabi Haifa,1592.5,1.0,2010-01-01
2010,South Africa,4,DF,Aaron Mokoena,1980-11-25,101,,Portsmouth,England,England,2013,2.0,Portsmouth,1605.4,1.0,2010-01-01
2010,South Africa,5,DF,Anele Ngcongca,1987-10-20,5,,Genk,Belgium,Belgium,2013,16.0,Genk,1431.1,1.0,2010-01-01
2010,South Africa,6,MF,MacBeth Sibaya,1977-11-25,58,,Rubin Kazan,Russia,Russia,2013,8.0,Rubin Kazan,1712.5,1.0,2010-01-01
2010,South Africa,7,MF,Lance Davids,1985-04-11,22,,Ajax Cape Town,South Africa,South Africa,2013,61.0,,,,
