year,team,squad_size,players_with_elo,elo_sum_total,elo_sum_GK,elo_sum_DF,elo_sum_MF,elo_sum_FW
2010,Algeria,23,19,29784.1,1238.5,11048.6,11400.3,6096.7
2010,Argentina,23,17,30266.9,3169.5,7294.3,10547.9,9255.2
2010,Australia,23,17,27012.8,3196.1,6468.0,12767.7,4581.0
2010,Brazil,23,20,35953.9,5431.2,12864.4,12316.8,5341.5
2010,Cameroon,23,22,37069.0,4933.1,13406.4,11898.3,6831.2
2010,Chile,23,12,19695.3,1656.9,3124.8,8269.1,6644.5
2010,Denmark,23,23,37637.7,4770.5,11869.2,16020.0,4978.0
2010,England,23,23,41286.2,4909.8,14508.7,14662.4,7205.3
2010,France,23,23,42467.6,5408.7,15032.8,12959.9,9066.2
2010,Germany,23,23,40761.8,5402.9,14066.5,14104.6,7187.8
2010,Ghana,23,16,26668.3,1618.3,8369.9,11493.2,5186.9
2010,Greece,23,23,37305.2,4665.5,16557.4,8092.4,7989.9
2010,Honduras,23,6,10026.0,0.0,3312.3,5018.0,1695.7
2010,Italy,23,23,39713.1,5113.0,12035.6,14024.8,8539.7
2010,Ivory Coast,23,20,34376.6,1391.2,13464.6,10639.9,8880.9
2010,Japan,23,4,6536.3,0.0,0.0,3450.7,3085.6
2010,Mexico,23,9,15727.4,0.0,8781.3,1747.1,5199.0
2010,Netherlands,23,23,39974.8,4852.6,11731.1,12409.8,10981.3
2010,New Zealand,23,6,9047.1,0.0,4582.7,1332.6,3131.8
2010,Nigeria,23,21,34505.8,1480.3,11483.2,6615.1,14927.2
2010,North Korea,23,1,1467.5,0.0,0.0,0.0,1467.5
2010,Paraguay,23,9,15238.6,1664.7,3200.3,3363.5,7010.1
2010,Portugal,23,23,40729.0,4835.3,14813.3,15716.3,5364.1
2010,Serbia,23,20,33743.5,1618.3,12034.8,14916.2,5174.2
2010,Slovakia,23,20,31356.4,4350.9,11298.8,11061.9,4644.8
2010,Slovenia,23,20,30903.9,4481.7,10580.8,6303.1,9538.3
2010,South Africa,23,7,11456.4,0.0,4629.0,5154.4,1673.0
2010,South Korea,23,5,8371.2,0.0,1583.7,5140.2,1647.3
2010,Spain,23,22,41468.0,5734.3,13257.3,16928.0,5548.4
2010,Switzerland,23,23,37467.2,4887.4,11402.1,14579.5,6598.2
